0,SteveDaines,The honor was all mine Kandi is an amazing representative of and our great state MontanaProud,0.7000000000000001,"['kandi', 'amazing representative', 'great state', 'montanaproud']",R,Montana 
1561,RepPeteStauber,I m happy to announce that the DOT has awarded a 10 500 000 grant to rehabilitate the Port of Duluth This is something I have been fighting for so I just spoke to DOT to thank her for taking action to help MN08,0.45,"['dot', 'duluth', 'dot', 'mn08']",R,Minnesota
1562,RepPeteStauber,Thanks to for pointing out an attempt by to once again mislead the public Her legislation aims to bypass any sort of environmental process and kill jobs economic development and funding for schools in northern MN,0.13333333333333333,"['thanks', 'legislation aims', 'environmental process', 'economic development', 'mn']",R,Minnesota
1563,RepPeteStauber,Too many families across the country are struggling because of a shortage of child care businesses That s why this week I was proud to introduce bipartisan legislation with to help expand child care access for working families Learn more,0.6,"['too', 'child care businesses', 'bipartisan legislation', 'child care access', 'learn']",R,Minnesota
1564,RepPeteStauber,It was an honor to help coordinate a tour of the Capitol Dome for my SOTU guest Mahaila Houle w the IUOE Local 49 amp Nancy Norr w If you re visiting D C in the near future click the following link for tours,0.025,"['dome', 'sotu', 'mahaila houle', 'iuoe', 'nancy norr', 'near future click']",R,Minnesota
1565,LacyClayMO1,Too many communities do not have access to broadband internet service The MovingForward Framework invests 80 billion in the deployment of broadband infrastructure to communities nationwide that are now left out of the digital economy ForThePeople,0.16666666666666666,"['too', 'broadband internet service', 'movingforward framework', 'broadband infrastructure', 'digital economy', 'forthepeople']",D,Missouri
1566,LacyClayMO1, No community should be denied services just because they were hard to count It s the responsibility of the,-0.2916666666666667,[],D,Missouri
1567,LacyClayMO1,We will not stand for anything less than a maximum effort to get a complete count for minorities new immigrants disabled Americans and low income Americans both in urban and rural areas 2020Census CompleteCount,-0.018614718614718615,"['maximum effort', 'new immigrants', 'low income', 'rural areas 2020census', 'completecount']",D,Missouri
1568,LacyClayMO1,Very concerned that 2020Census has recruited too few people and will rely too much on unproven technology CompleteCount,0.06666666666666667,"['unproven technology', 'completecount']",D,Missouri
1569,LacyClayMO1, The abuse of power never stops Roger Stone broke the law and these 4 prosecutors are standing up for justice ht,0.0,"['roger stone', 'justice ht']",D,Missouri
1570,RepAnnWagner,by establishing the first national women s history museum Through their courage ingenuity determination and integrity American women have been instrumental in the growth of the United States as a global force for good,0.2375,"['national women s history museum', 'courage ingenuity determination', 'american women', 'global force']",R,Missouri
1571,RepAnnWagner,Today I urged my colleagues to support H R 1980 the Smithsonian Women s History Museum Act legislation I was proud to introduce with my colleagues on a bipartisan basis This important bill will honor the immense contributions that women have made to our country,0.4000000000000001,"['h r', 'smithsonian', 'history', 'museum act legislation', 'bipartisan basis', 'important bill', 'immense contributions']",R,Missouri
1572,RepAnnWagner,RELEASE Reps Wagner Kustoff McAdams and Blumenauer Introduce Legislation to Prevent Repeated Community Flooding Read more here,0.5,"['release reps wagner kustoff mcadams', 'blumenauer introduce legislation', 'prevent repeated', 'flooding read']",R,Missouri
1573,RepAnnWagner,This morning I had the honor of singing in the National Prayer Breakfast Congressional Choir with my colleagues,0.0,"['prayer breakfast', 'choir']",R,Missouri
1574,RepAnnWagner,I spoke with AML to discuss our work against human trafficking Financial institutions are critical partners in the fight against trafficking amp I look forward to working w banks non profits amp law enforcement to find new ways to ID traffickers amp help victims find justice,0.03409090909090909,"['aml', 'financial', 'critical partners', 'w banks non profits amp law enforcement', 'new ways', 'id', 'traffickers amp']",R,Missouri
1575,RepBlaine,Great to see you Joseph,0.8,['joseph'],R,Missouri
1576,RepBlaine,Thanks for stopping by,0.2,['thanks'],R,Missouri
1577,RepBlaine,Calling all high school artists My office is now accepting entries for the 2020 Congressional Art Competition Please submit your work by April 21st at 5PM More information here,0.22,"['high school artists', 'art competition please', 'april']",R,Missouri
1578,RepBlaine,February is American Heart Month amp next week is Congenital Heart Disease Awareness Week CHD is the leading cause of infant deaths in the U S amp 1 in 100 babies is born with it It s critical we fight for more medical advancements to protect our children,0.1,"['february', 'heart month', 'congenital heart disease awareness', 'chd', 'infant deaths', 's amp', 'medical advancements']",R,Missouri
1579,RepBlaine,The American economy continues to boom Employers added an incredible 225 000 jobs and wage growth is up at 3 1 in January,0.45,"['american economy', 'employers', 'wage growth', 'january']",R,Missouri
1580,RepHartzler,Now that America is moving on from an impeachment process that brought Congress to a standstill it s time Speaker Pelosi lets us get back to doing the work of the American people Let s stop the complaining and grandstanding and actually put forward a budget on the floor,0.0,"['america', 'impeachment process', 'congress', 's time speaker', 'pelosi', 'american people']",R,Missouri
1581,RepHartzler, Never thought I d agree with RBG The deadline for the ERA expired,0.0,"['never', 'rbg', 'era']",R,Missouri
1582,RepHartzler,Today I received the True Blue award This recognition is awarded to Members of Congress with a proven record of defending the right to life religious freedoms and family values It is truly an honor to represent MO04 as we fight for our foundational values,0.15892857142857142,"['true', 'blue award', 'congress', 'religious freedoms', 'family values', 'mo04', 'foundational values']",R,Missouri
1583,RepHartzler,This week the House passed s PAWS for Veterans Therapy Act This bill enables the to work with veterans and service dog non profits so veterans have access to service and therapy dogs,0.0,"['paws', 'veterans therapy', 'service dog non profits', 'therapy dogs']",R,Missouri
1584,RepHartzler,Job s report is in 225k new jobs nationwide 3 6 national unemployment rate 3 1 wage increase 3 6 unemployment Labor force participation up Under s leadership America s economy keeps booming FridayMotivation,0.13636363636363635,"['job', 'new jobs', 'national unemployment rate', 'wage increase', 'unemployment labor force participation', 's leadership', 'america', 's economy', 'fridaymotivation']",R,Missouri
1585,repcleaver, LIVE is making good on a Super Bowl wager she made with With the victory Pelosi is paying,0.3898989898989899,"['live', 'bowl wager', 'pelosi']",D,Missouri
1586,repcleaver,Communities of color have been fighting for environmental justice for decades Today we celebrate the anniversary of President Clinton s 1994 executive order defining environmental justice We ll continue the work to achieve EnviroJusticeNow,0.0,"['communities', 'environmental justice', 'clinton', 'executive order', 'environmental justice', 'envirojusticenow']",D,Missouri
1587,repcleaver,Huge thank you to for the great sportsmanship and delicious chocolates Looking forward to the rematch and more chocolates next year ChiefsKingdom,0.54,"['huge', 'great sportsmanship', 'delicious chocolates', 'looking', 'chiefskingdom']",D,Missouri
1588,repcleaver,If you were wondering what would pay for the 1 5 trillion tax cut for the wealthy and giant corporations look no further than the massive cuts to Medicare Medicaid Social Security affordable housing education funding and everything else in the TrumpBudget GOPTaxScam,0.10666666666666666,"['trillion tax', 'giant corporations', 'massive cuts', 'medicare medicaid', 'social security', 'trumpbudget goptaxscam']",D,Missouri
1589,repcleaver,The TrumpBudget is a disaster for American families It would cut 920 billion from Medicaid 850 billion from Medicare 182 billion from SNAP 70 billion from disability benefits Education Dept by 8 HHS by 9 EPA by 26 HUD by 15,0.0,"['trumpbudget', 'american families', 'medicaid', 'medicare', 'snap', 'disability benefits education', 'dept', 'hhs', 'epa', 'hud']",D,Missouri
1590,RepSamGraves,In addition to being a special guest at the SOTU amp participating in the coin toss at SuperBowlLIV Charles McGee one of the last surviving Tuskegee Airmen former director of amp a hero I m honored to know was promoted to Brigadier General last week in the Oval Office,0.08142857142857143,"['special guest', 'sotu', 'superbowlliv charles mcgee', 'tuskegee airmen', 'brigadier', 'oval']",R,Missouri
1591,RepSamGraves,Congratulations to Dr Eric Johnson of on being named Missouri Principal of the Year by,0.0,"['congratulations', 'dr eric johnson', 'missouri']",R,Missouri
